J11_4_10,101,9,0
J11_9_10,111,2,0
J12_11_16,1,1,0
J13_3_12,161,1,0
J14_13_22,350,25,0
J16_12_14_15,2,2,0
J16_14_15_18,9,3,1
J17_15_16,69,7,0
J17_7_8_9_16,3,2,1
J17_9_13_16,161,1,0
J18_9_11_12_13_15_17,89,11,0
J19_10_12_17_18,97,13,3
J19_3_6_18,176,15,0
J20_18_19,6,2,0
J20_19_22,250,25,0
J21_13_20,2,2,0
J22_11_21,1,2,1
J23_7_22,4,2,1
J26_2_12_18_21_23_25,8,1,0
J28_11_17_26_27,322,23,0
J31_22_30,350,25,0
J3_2_22,98,7,0
J4_1_2_3,2,1,0
J4_3_11_13,9,1,0
J5_2_4,89,1,0
J6_2_3_5,1,1,0
J6_4_5,39,15,3
J7_1_2_3_4_5_6,14,14,0
J7_1_3_6,10,5,0
J7_1_6_11_13_15,5,1,0
J7_3_6,167,21,3
J8_12_14_15,3,2,1
J8_2_7,225,27,0
J9_12_14_15,2,2,0
J9_1_2_3_8,3,1,0
M10_11_13,13,3,1
M11,1,1,0
M12,48,35,4
M14,2,3,2
M14_11_13,17,3,1
M15,465,91,30
M15_14,438,20,3
M17_2_10_12_15_16,22,5,0
M18,2,1,0
M19,92,91,15
M19_6_7_15,12,3,0
M1_11_13,3,1,0
M22,1,2,1
M23,2,1,0
M24,0,1,0
M26_25,43,5,0
M27,1,1,0
M2_11_13,3,1,0
M5_11_13,23,3,1
M6_11_13,14,3,1
M6_5,415,41,5
M7_11_13,92,3,1
M8_11_13,12,3,0
M9,1,1,0
M9_11_13,16,3,1
M9_6_8,11,3,0
R11_12,2,1,0
R11_16,0,1,0
R11_5,1,1,0
R12_28,322,23,0
R12_7,1,1,0
R13_17_23,1,1,0
R13_5,1,1,0
R14_16,1,2,1
R14_7,1,1,0
R15_16,1,2,1
R15_1_2_4_5_6_7_8_9_10_14,92,1,0
R15_26,45,5,0
R15_5,3,1,0
R16_15,243,2,1
R16_22,1,1,0
R16_7,1,1,0
R16_7_15,6,3,0
R17_7,1,1,0
R18_14_15_17,2,2,0
R18_21,1,1,0
R18_28,230,23,0
R19_18,230,23,0
R1_21,182,1,0
R1_28,126,9,0
R1_8,1,1,0
R23_5_22,244,6,1
R24_17_23,3,1,0
R24_23,82,9,5
R25_1_5_8_13_24,2,1,0
R25_24,2,2,1
R29_28,322,23,0
R2_11,1,1,0
R30_29,322,23,0
R33_32,15,1,0
R3_11,479,3,0
R3_14,0,1,0
R3_19,1,1,0
R4_13,0,1,0
R4_26,50,5,0
R4_3,411,29,1
R4_7,1,1,0
R5_4_17,1,1,0
R6_13,0,1,0
R6_1_2_3_4_5,8,5,3
R6_22,1,1,0
R7_22,1,1,0
R8_13,0,1,0
R8_19,1,1,0
R9_2,0,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA2NQ==,14,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3Mg==,21,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3Mw==,21,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3NA==,20,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3NQ==,21,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3Ng==,19,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3Nw==,16,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3OA==,19,1,0
task_MzU0Njc4NTA0MjM1MjU4NjA3OQ==,19,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE2NA==,26,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE2NQ==,26,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE2OA==,35,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE2OQ==,42,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE3MA==,22,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE3MQ==,25,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE3Mg==,43,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE3Mw==,46,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE3NA==,38,1,0
task_MzU0Njc4NTA0MjM2NDU4NjE3NQ==,38,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE2Ng==,24,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE2Nw==,20,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE2OA==,24,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE2OQ==,24,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE3MA==,24,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE3MQ==,25,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE3Mg==,24,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE3Mw==,24,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE3NA==,23,1,0
task_MzU0Njc4NTA0MjM2NTU4NjE3NQ==,24,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2MA==,20,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2MQ==,20,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2Mg==,20,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2Mw==,24,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2NA==,23,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2NQ==,23,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2Ng==,23,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE2Nw==,24,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE3MA==,19,1,0
task_MzU0Njc4NTA0MjM2NjU4NjE3MQ==,23,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2MA==,19,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2MQ==,19,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2Mg==,17,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2Mw==,21,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2NA==,23,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2NQ==,22,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2Ng==,22,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE2Nw==,22,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE3Mg==,21,1,0
task_MzU0Njc4NTA0MjM2NzU4NjE3Mw==,21,1,0
task_MzY1MzM4ODU1NTA1OTk2NTgwOQ==,4,1,0
task_ODk4MTQyMDI2MjIwMDcyNTk4Mg==,4,1,0
